#{"t_start": 1713661405.640897, "env_id": "PandaPickAndPlace-v1"}
r,l,t,is_success
-50.0,50,1268.677645,0.0
-50.0,50,1270.97062,0.0
-50.0,50,1273.254044,0.0
-50.0,50,1275.710729,0.0
-50.0,50,1278.279696,0.0
-50.0,50,1280.587822,0.0
-50.0,50,1282.953809,0.0
-50.0,50,1285.448812,0.0
-50.0,50,1287.919055,0.0
-50.0,50,1290.535003,0.0
-50.0,50,1292.901632,0.0
-50.0,50,1295.187732,0.0
-50.0,50,1297.700171,0.0
-50.0,50,1300.191495,0.0
-50.0,50,1302.830927,0.0
-50.0,50,1305.196818,0.0
-50.0,50,1307.587765,0.0
-50.0,50,1310.396267,0.0
-50.0,50,1312.879805,0.0
-50.0,50,1315.817651,0.0
-50.0,50,1318.777328,0.0
-50.0,50,1321.380085,0.0
-50.0,50,1324.224259,0.0
-50.0,50,1327.065645,0.0
-50.0,50,1329.738854,0.0
-50.0,50,1332.619362,0.0
-50.0,50,1335.351823,0.0
-50.0,50,1337.841759,0.0
-50.0,50,1340.189296,0.0
-50.0,50,1342.59445,0.0
-50.0,50,1345.048251,0.0
-50.0,50,1347.472182,0.0
-50.0,50,1350.452539,0.0
-50.0,50,1353.148994,0.0
-50.0,50,1355.653745,0.0
-50.0,50,1358.182104,0.0
-50.0,50,1360.922475,0.0
-50.0,50,1363.747766,0.0
-50.0,50,1366.649773,0.0
-50.0,50,1369.132653,0.0
-50.0,50,1371.509893,0.0
-48.0,50,1373.862552,0.0
-50.0,50,1376.278142,0.0
-50.0,50,1378.668113,0.0
-50.0,50,1381.092576,0.0
-50.0,50,1383.589438,0.0
-50.0,50,1385.977174,0.0
-50.0,50,1388.701099,0.0
-50.0,50,1391.180325,0.0
-50.0,50,1393.534447,0.0
-50.0,50,1395.860773,0.0
-50.0,50,1398.31101,0.0
0.0,50,1400.699739,1.0
-50.0,50,1403.181056,0.0
-49.0,50,1405.623564,0.0
-50.0,50,1408.072965,0.0
-50.0,50,1410.58641,0.0
-50.0,50,1413.025752,0.0
-50.0,50,1415.321126,0.0
-50.0,50,1417.627917,0.0
-50.0,50,1419.859012,0.0
-50.0,50,1422.187606,0.0
-50.0,50,1424.57181,0.0
-50.0,50,1426.856926,0.0
-50.0,50,1429.165961,0.0
-50.0,50,1431.615846,0.0
-50.0,50,1433.918462,0.0
-50.0,50,1436.266395,0.0
-50.0,50,1438.518585,0.0
-50.0,50,1440.703533,0.0
-50.0,50,1442.999413,0.0
-50.0,50,1445.352474,0.0
-8.0,50,1447.654744,1.0
-50.0,50,1450.030873,0.0
0.0,50,1452.369324,1.0
-50.0,50,1454.71602,0.0
-50.0,50,1457.07234,0.0
-50.0,50,1459.376615,0.0
-50.0,50,1461.73656,0.0
0.0,50,1464.075407,1.0
-50.0,50,1466.477002,0.0
-50.0,50,1468.771153,0.0
-50.0,50,1471.104198,0.0
-50.0,50,1473.410264,0.0
-50.0,50,1475.711821,0.0
-9.0,50,1478.094555,1.0
-50.0,50,1480.346521,0.0
-9.0,50,1482.718262,1.0
-50.0,50,1485.139054,0.0
-50.0,50,1487.450075,0.0
-50.0,50,1489.88473,0.0
-50.0,50,1492.50704,0.0
-50.0,50,1494.917619,0.0
-50.0,50,1497.278605,0.0
-50.0,50,1499.540931,0.0
-50.0,50,1501.874969,0.0
-50.0,50,1504.210809,0.0
-50.0,50,1506.547897,0.0
-50.0,50,1508.827984,0.0
0.0,50,1511.040801,1.0
-50.0,50,1513.358185,0.0
-50.0,50,1515.706909,0.0
-50.0,50,1517.998,0.0
-50.0,50,1520.332898,0.0
-50.0,50,1522.689065,0.0
-6.0,50,1525.025432,1.0
-50.0,50,1527.294158,0.0
-50.0,50,1529.667852,0.0
-50.0,50,1531.87167,0.0
-50.0,50,1534.192949,0.0
-50.0,50,1536.577045,0.0
-50.0,50,1538.924608,0.0
-50.0,50,1541.294677,0.0
-50.0,50,1543.567469,0.0
-50.0,50,1545.774106,0.0
-50.0,50,1548.031391,0.0
-50.0,50,1550.425378,0.0
-50.0,50,1552.653866,0.0
-50.0,50,1555.021089,0.0
-50.0,50,1557.360854,0.0
-50.0,50,1559.553293,0.0
-50.0,50,1561.852235,0.0
-50.0,50,1564.145975,0.0
-50.0,50,1566.460812,0.0
0.0,50,1568.764567,1.0
-50.0,50,1571.034491,0.0
-50.0,50,1573.309977,0.0
-50.0,50,1575.549615,0.0
-50.0,50,1577.827896,0.0
-50.0,50,1580.097725,0.0
-50.0,50,1582.505425,0.0
-50.0,50,1584.837384,0.0
-50.0,50,1587.169699,0.0
-50.0,50,1589.481733,0.0
-50.0,50,1591.753505,0.0
-50.0,50,1594.102277,0.0
-50.0,50,1596.503167,0.0
-50.0,50,1598.748352,0.0
-50.0,50,1601.081192,0.0
-50.0,50,1603.508814,0.0
-50.0,50,1606.046486,0.0
-50.0,50,1608.737787,0.0
-50.0,50,1611.331273,0.0
-50.0,50,1613.811748,0.0
-50.0,50,1616.512624,0.0
-50.0,50,1618.985404,0.0
-15.0,50,1621.460076,1.0
-50.0,50,1623.762815,0.0
-50.0,50,1626.042389,0.0
-50.0,50,1628.429246,0.0
-50.0,50,1630.867769,0.0
-50.0,50,1633.20813,0.0
-50.0,50,1635.559753,0.0
-50.0,50,1637.909869,0.0
-10.0,50,1640.15064,1.0
-50.0,50,1642.497621,0.0
-50.0,50,1646.092076,0.0
-50.0,50,1650.477362,0.0
-50.0,50,1653.035253,0.0
-50.0,50,1655.488666,0.0
-50.0,50,1657.926632,0.0
-50.0,50,1660.334688,0.0
-50.0,50,1662.716972,0.0
-50.0,50,1665.008841,0.0
-50.0,50,1667.341993,0.0
-50.0,50,1669.72736,0.0
-50.0,50,1672.037495,0.0
-50.0,50,1674.432138,0.0
-50.0,50,1676.70404,0.0
-50.0,50,1678.985605,0.0
-46.0,50,1681.293949,0.0
-50.0,50,1683.625157,0.0
-50.0,50,1685.890333,0.0
-50.0,50,1688.22282,0.0
-50.0,50,1690.535084,0.0
-50.0,50,1693.117195,0.0
-50.0,50,1695.379764,0.0
-50.0,50,1697.667995,0.0
-50.0,50,1699.917867,0.0
-50.0,50,1702.324425,0.0
-50.0,50,1704.656777,0.0
-50.0,50,1706.979524,0.0
-50.0,50,1709.431601,0.0
-50.0,50,1711.778493,0.0
-50.0,50,1714.128217,0.0
-50.0,50,1716.39535,0.0
-50.0,50,1718.688929,0.0
-50.0,50,1720.964761,0.0
-48.0,50,1723.279449,0.0
-50.0,50,1725.66242,0.0
-50.0,50,1727.984106,0.0
-50.0,50,1730.375063,0.0
-50.0,50,1732.734016,0.0
0.0,50,1734.964862,1.0
-50.0,50,1737.279061,0.0
-50.0,50,1739.910531,0.0
-50.0,50,1742.573512,0.0
-50.0,50,1744.852208,0.0
-50.0,50,1747.195577,0.0
-13.0,50,1749.464642,1.0
-50.0,50,1751.805919,0.0
-50.0,50,1754.120352,0.0
-50.0,50,1756.519449,0.0
-50.0,50,1758.849392,0.0
-50.0,50,1761.076964,0.0
-50.0,50,1763.454829,0.0
-50.0,50,1765.784081,0.0
-50.0,50,1768.1273,0.0
-50.0,50,1770.412844,0.0
-50.0,50,1772.74428,0.0
-49.0,50,1775.094126,0.0
-50.0,50,1777.535461,0.0
-50.0,50,1779.761333,0.0
-48.0,50,1782.168505,0.0
-50.0,50,1784.418051,0.0
-50.0,50,1786.746923,0.0
-50.0,50,1789.053027,0.0
-50.0,50,1791.304879,0.0
-50.0,50,1793.682547,0.0
-50.0,50,1796.087793,0.0
-50.0,50,1798.426977,0.0
-50.0,50,1800.64108,0.0
-50.0,50,1802.937911,0.0
-50.0,50,1805.289745,0.0
-48.0,50,1807.576252,0.0
-50.0,50,1809.851785,0.0
-50.0,50,1812.180552,0.0
-50.0,50,1814.509634,0.0
-50.0,50,1816.838235,0.0
-50.0,50,1819.201116,0.0
-50.0,50,1821.584778,0.0
-46.0,50,1823.936504,0.0
-50.0,50,1826.377674,0.0
-50.0,50,1828.596636,0.0
-50.0,50,1830.896804,0.0
-50.0,50,1833.197745,0.0
-48.0,50,1835.473654,0.0
-50.0,50,1837.828634,0.0
-50.0,50,1840.094411,0.0
-50.0,50,1842.419607,0.0
-50.0,50,1844.720379,0.0
-50.0,50,1847.10732,0.0
-50.0,50,1849.38653,0.0
-50.0,50,1851.691986,0.0
0.0,50,1854.089597,1.0
0.0,50,1856.366352,1.0
-50.0,50,1858.749458,0.0
-50.0,50,1861.043929,0.0
-50.0,50,1863.321292,0.0
-50.0,50,1865.98357,0.0
-50.0,50,1868.484639,0.0
-50.0,50,1870.706593,0.0
-50.0,50,1873.009252,0.0
-49.0,50,1875.319203,0.0
-50.0,50,1877.541269,0.0
-50.0,50,1879.917923,0.0
-50.0,50,1882.207381,0.0
-50.0,50,1884.427609,0.0
-6.0,50,1886.69777,1.0
-50.0,50,1889.056255,0.0
-50.0,50,1891.274774,0.0
0.0,50,1893.491972,1.0
-50.0,50,1895.763339,0.0
-50.0,50,1898.14107,0.0
-50.0,50,1900.524204,0.0
-50.0,50,1902.843215,0.0
-50.0,50,1905.089822,0.0
-50.0,50,1907.392236,0.0
0.0,50,1909.625486,1.0
-50.0,50,1911.929166,0.0
-50.0,50,1914.216111,0.0
-50.0,50,1916.54563,0.0
-50.0,50,1918.86163,0.0
-50.0,50,1921.437384,0.0
-50.0,50,1923.836721,0.0
-50.0,50,1926.264743,0.0
-50.0,50,1928.620483,0.0
-48.0,50,1930.830127,0.0
-50.0,50,1933.200946,0.0
-50.0,50,1935.499048,0.0
-50.0,50,1937.81072,0.0
-50.0,50,1940.196097,0.0
-46.0,50,1942.609263,0.0
-50.0,50,1944.925147,0.0
-50.0,50,1947.25028,0.0
-50.0,50,1949.549781,0.0
-50.0,50,1951.860712,0.0
-50.0,50,1954.130308,0.0
-50.0,50,1956.511178,0.0
-50.0,50,1958.808563,0.0
-50.0,50,1961.129295,0.0
0.0,50,1963.443624,1.0
-50.0,50,1965.839265,0.0
-50.0,50,1968.145292,0.0
-50.0,50,1970.415962,0.0
-50.0,50,1972.685348,0.0
-50.0,50,1975.074977,0.0
-50.0,50,1977.396459,0.0
-50.0,50,1979.680645,0.0
-50.0,50,1981.956755,0.0
-47.0,50,1984.387421,0.0
-50.0,50,1986.687754,0.0
-50.0,50,1989.29198,0.0
-50.0,50,1991.965045,0.0
-50.0,50,1994.342568,0.0
-15.0,50,1996.587889,1.0
-50.0,50,1998.900449,0.0
-50.0,50,2001.25417,0.0
-50.0,50,2003.54216,0.0
-50.0,50,2005.819706,0.0
-50.0,50,2008.164638,0.0
-50.0,50,2010.463753,0.0
-50.0,50,2012.821974,0.0
-50.0,50,2015.159136,0.0
-50.0,50,2017.453614,0.0
-50.0,50,2019.828064,0.0
-50.0,50,2022.250823,0.0
-50.0,50,2024.562891,0.0
-50.0,50,2026.840961,0.0
-50.0,50,2029.135699,0.0
-50.0,50,2031.401645,0.0
-50.0,50,2033.745288,0.0
-50.0,50,2036.151249,0.0
-50.0,50,2038.314229,0.0
-50.0,50,2040.669013,0.0
-50.0,50,2043.012645,0.0
-50.0,50,2045.268973,0.0
-50.0,50,2047.633122,0.0
-50.0,50,2049.884726,0.0
-48.0,50,2052.222813,0.0
-50.0,50,2054.522651,0.0
